| Drug Name | Sagace URL |
|CA|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CA|
|CACN|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CACN|
|CASP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CASP|
|CASS|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CASS|
|CCL|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CCL|
|CD|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CD|
|CISD|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CISD|
|CDHR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CDHR|
|MCDH|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=MCDH|
|PCDHC|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=PCDHC|
|PCDHN|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=PCDHN|
|CDK|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CDK|
|CES|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CES|
|CHCHD|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CHCHD|
|CHMP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CHMP|
|CHR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CHR|
|ANO|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ANO|
|BEST|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=BEST|
|CFTR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CFTR|
|CLCN|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CLCN|
|CLIC|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CLIC|
|CLDN|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CLDN|
|CLEC|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CLEC|
|CLK|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CLK|
|COG|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=COG|
|COLEC|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=COLEC|
|COLLAGEN|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=COLLAGEN|
|CORO|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CORO|
