| Gene Symbol | Targetmine URL |
|:----------:|:------------:|
|Mir25|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir25|
|MIR25|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR25|
|MIR2681|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR2681|
|MIR2682|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR2682|
|Mir26a|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir26a|
|Mir26a-1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir26a-1|
|MIR26A1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR26A1|
|Mir26a-2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir26a-2|
|MIR26A2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR26A2|
|Mir26b|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir26b|
|MIR26B|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR26B|
|Mir27a|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir27a|
|MIR27A|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR27A|
|Mir27b|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir27b|
|MIR27B|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR27B|
|Mir28|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir28|
|MIR28|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR28|
|Mir2861|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir2861|
|MIR2861|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR2861|
|Mir28b|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir28b|
|Mir28c|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir28c|
|Mir290|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir290|
|MIR2909|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR2909|
|Mir291a|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir291a|
|Mir291b|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir291b|
|Mir292|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir292|
|Mir293|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir293|
|Mir294|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir294|
|Mir295|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir295|
|Mir295-1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir295-1|
|Mir295-2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir295-2|
|Mir296|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir296|
|MIR296|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR296|
|Mir2964|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir2964|
|MIR2964A|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR2964A|
|Mir297|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir297|
|MIR297|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR297|
|Mir297-1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir297-1|
|Mir297-2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir297-2|
|Mir297a-3|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir297a-3|
|Mir297a-4|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir297a-4|
|Mir297b|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir297b|
|Mir297c|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir297c|
|Mir298|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir298|
|MIR298|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR298|
|Mir2985|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir2985|
|Mir299|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir299|
|MIR299|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR299|
|Mir299b|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir299b|
|Mir29a|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir29a|
|MIR29A|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR29A|
|Mir29b1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir29b1|
|Mir29b-1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir29b-1|
|MIR29B1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR29B1|
|Mir29b2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir29b2|
|Mir29b-2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir29b-2|
|MIR29B2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR29B2|
|Mir29c|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir29c|
|MIR29C|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR29C|
|Mir300|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir300|
|MIR300|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR300|
|Mir301|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir301|
|Mir301a|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir301a|
|MIR301A|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR301A|
|Mir301b|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir301b|
|MIR301B|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR301B|
|Mir302a|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir302a|
|MIR302A|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR302A|
|Mir302b|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir302b|
|MIR302B|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR302B|
|Mir302c|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir302c|
|MIR302C|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR302C|
|Mir302d|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir302d|
|MIR302D|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR302D|
|MIR302E|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR302E|
|MIR302F|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR302F|
|Mir3057|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3057|
|Mir3058|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3058|
|Mir3059|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3059|
|Mir3060|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3060|
|Mir3061|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3061|
|Mir3062|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3062|
|Mir3063|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3063|
|Mir3064|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3064|
|MIR3064|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR3064|
|Mir3065|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3065|
|MIR3065|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=MIR3065|
|Mir3066|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3066|
|Mir3067|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3067|
|Mir3068|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3068|
|Mir3069|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3069|
|Mir3070a|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3070a|
|Mir3070b|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3070b|
|Mir3071|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3071|
|Mir3072|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3072|
|Mir3073|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3073|
|Mir3073b|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Mir3073b|
