| Gene Symbol | Targetmine URL |
|:----------:|:------------:|
|Olr997-ps|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Olr997-ps|
|Olr998-ps|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Olr998-ps|
|Olr999-ps|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Olr999-ps|
|Olr99-ps|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Olr99-ps|
|Olr9-ps|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Olr9-ps|
|Olrf445-ps1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Olrf445-ps1|
|olt|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=olt|
|Om|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Om|
|Oma1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Oma1|
|OMA1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OMA1|
|Omd|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Omd|
|OMD|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OMD|
|Omg|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Omg|
|OMG|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OMG|
|Omlr|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Omlr|
|Omp|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Omp|
|OMP|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OMP|
|OMS|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OMS|
|Omt2a|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Omt2a|
|Omt2b|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Omt2b|
|Onc1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Onc1|
|Onecut1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Onecut1|
|ONECUT1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=ONECUT1|
|Onecut2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Onecut2|
|ONECUT2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=ONECUT2|
|Onecut3|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Onecut3|
|ONECUT3|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=ONECUT3|
|Ooep|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ooep|
|OOEP|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OOEP|
|Oog1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Oog1|
|Oog2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Oog2|
|Oog3|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Oog3|
|Oog4|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Oog4|
|Oosp1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Oosp1|
|OOSP1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OOSP1|
|Opa1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Opa1|
|OPA1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPA1|
|OPA1-AS1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPA1-AS1|
|OPA2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPA2|
|Opa3|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Opa3|
|OPA3|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPA3|
|OPA4|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPA4|
|OPA5|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPA5|
|OPA6|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPA6|
|Opalin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Opalin|
|OPALIN|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPALIN|
|Opcml|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Opcml|
|OPCML|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPCML|
|OPCML-IT1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPCML-IT1|
|OPCML-IT2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPCML-IT2|
|OPEM|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPEM|
|Opfa|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Opfa|
|OPHLC|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPHLC|
|Ophn1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ophn1|
|OPHN1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPHN1|
|Oplah|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Oplah|
|OPLAH|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPLAH|
|OPLL|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPLL|
|Opn1lw|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Opn1lw|
|OPN1LW|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPN1LW|
|Opn1mw|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Opn1mw|
|OPN1MW|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPN1MW|
|OPN1MW2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPN1MW2|
|Opn1sw|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Opn1sw|
|OPN1SW|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPN1SW|
|Opn3|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Opn3|
|OPN3|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPN3|
|Opn4|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Opn4|
|OPN4|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPN4|
|Opn5|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Opn5|
|OPN5|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPN5|
|Oprd1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Oprd1|
|OPRD1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPRD1|
|Oprk1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Oprk1|
|OPRK1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPRK1|
|Oprl1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Oprl1|
|OPRL1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPRL1|
|Oprm1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Oprm1|
|OPRM1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPRM1|
|Optc|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Optc|
|OPTC|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPTC|
|Optn|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Optn|
|OPTN|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OPTN|
|OR10A2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10A2|
|OR10A3|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10A3|
|OR10A4|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10A4|
|OR10A5|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10A5|
|OR10A6|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10A6|
|OR10A7|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10A7|
|OR10AA1P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10AA1P|
|OR10AB1P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10AB1P|
|OR10AC1P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10AC1P|
|Or10ad1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Or10ad1|
|OR10AD1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10AD1|
|OR10AE1P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10AE1P|
|OR10AE3P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10AE3P|
|OR10AF1P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10AF1P|
|OR10AG1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10AG1|
|OR10AH1P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10AH1P|
|OR10AK1P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10AK1P|
|OR10B1P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10B1P|
|OR10C1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10C1|
|OR10D1P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10D1P|
|OR10D3|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10D3|
|OR10D4P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10D4P|
|OR10D5P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10D5P|
|OR10G1P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10G1P|
|OR10G2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10G2|
|OR10G3|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10G3|
|OR10G4|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10G4|
|OR10G5P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=OR10G5P|
