| Gene Symbol | Targetmine URL |
|:----------:|:------------:|
|LOC101056225|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056225|
|LOC101056226|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056226|
|LOC101056227|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056227|
|LOC101056228|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056228|
|LOC101056229|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056229|
|LOC101056230|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056230|
|LOC101056231|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056231|
|LOC101056232|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056232|
|LOC101056233|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056233|
|LOC101056234|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056234|
|LOC101056235|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056235|
|LOC101056236|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056236|
|LOC101056237|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056237|
|LOC101056238|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056238|
|LOC101056239|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056239|
|LOC101056240|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056240|
|LOC101056241|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056241|
|LOC101056242|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056242|
|LOC101056243|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056243|
|LOC101056244|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056244|
|LOC101056245|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056245|
|LOC101056246|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056246|
|LOC101056247|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056247|
|LOC101056248|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056248|
|LOC101056249|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056249|
|LOC101056250|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056250|
|LOC101056251|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056251|
|LOC101056252|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056252|
|LOC101056253|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056253|
|LOC101056254|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056254|
|LOC101056255|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056255|
|LOC101056256|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056256|
|LOC101056257|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056257|
|LOC101056258|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056258|
|LOC101056259|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056259|
|LOC101056260|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056260|
|LOC101056261|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056261|
|LOC101056262|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056262|
|LOC101056263|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056263|
|LOC101056264|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056264|
|LOC101056265|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056265|
|LOC101056266|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056266|
|LOC101056267|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056267|
|LOC101056268|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056268|
|LOC101056269|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056269|
|LOC101056270|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056270|
|LOC101056271|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056271|
|LOC101056272|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056272|
|LOC101056273|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056273|
|LOC101056274|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056274|
|LOC101056275|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056275|
|LOC101056276|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056276|
|LOC101056277|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056277|
|LOC101056278|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056278|
|LOC101056279|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056279|
|LOC101056280|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056280|
|LOC101056281|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056281|
|LOC101056282|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056282|
|LOC101056283|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056283|
|LOC101056284|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056284|
|LOC101056285|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056285|
|LOC101056286|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056286|
|LOC101056287|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056287|
|LOC101056288|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056288|
|LOC101056289|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056289|
|LOC101056290|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056290|
|LOC101056291|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056291|
|LOC101056292|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056292|
|LOC101056293|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056293|
|LOC101056294|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056294|
|LOC101056295|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056295|
|LOC101056296|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056296|
|LOC101056297|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056297|
|LOC101056298|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056298|
|LOC101056299|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056299|
|LOC101056300|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056300|
|LOC101056301|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=LOC101056301|
