| Generic Name | Targetmine URL |
|Abciximab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Abciximab|
|Drotrecogin alfa|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Drotrecogin+alfa|
|Gemtuzumab ozogamicin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Gemtuzumab+ozogamicin|
|Satumomab Pendetide|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Satumomab+Pendetide|
|Alpha-1-proteinase inhibitor|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Alpha-1-proteinase+inhibitor|
|Pegaspargase|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pegaspargase|
|Interferon beta-1a|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Interferon+beta-1a|
|Pegademase bovine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pegademase+bovine|
|Human Serum Albumin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Human+Serum+Albumin|
|Eptifibatide|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Eptifibatide|
|Serum albumin iodonated|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Serum+albumin+iodonated|
|Infliximab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Infliximab|
|Follitropin beta|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Follitropin+beta|
|Vasopressin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Vasopressin|
|Interferon beta-1b|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Interferon+beta-1b|
|CRA_7806|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=CRA_7806|
|Interferon alfacon-1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Interferon+alfacon-1|
|Hyaluronidase|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Hyaluronidase|
|Insulin, porcine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Insulin,+porcine|
|Trastuzumab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Trastuzumab|
|Rituximab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Rituximab|
|Basiliximab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Basiliximab|
|Muromonab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Muromonab|
|Digoxin Immune Fab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Digoxin+Immune+Fab|
|Ibritumomab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ibritumomab|
|Daptomycin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Daptomycin|
|Tositumomab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Tositumomab|
|Pegvisomant|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pegvisomant|
|Botulinum Toxin Type A|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Botulinum+Toxin+Type+A|
|Pancrelipase|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pancrelipase|
|Streptokinase|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Streptokinase|
|Octreotide|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Octreotide|
|Praziquantel|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Praziquantel|
|Alemtuzumab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Alemtuzumab|
|Alglucerase|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Alglucerase|
|Capromab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Capromab|
|Laronidase|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Laronidase|
|Cyclosporine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Cyclosporine|
|Alefacept|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Alefacept|
|Felypressin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Felypressin|
|Urofollitropin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Urofollitropin|
|Efalizumab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Efalizumab|
|Serum albumin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Serum+albumin|
|Choriogonadotropin alfa|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Choriogonadotropin+alfa|
|Antithymocyte globulin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Antithymocyte+globulin|
|Filgrastim|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Filgrastim|
|Coagulation Factor IX|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Coagulation+Factor+IX|
|Becaplermin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Becaplermin|
|Agalsidase beta|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Agalsidase+beta|
|Indinavir|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Indinavir|
|Interferon Alfa-2b, Recombinant|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Interferon+Alfa-2b,+Recombinant|
|Abarelix|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Abarelix|
|Oxytocin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Oxytocin|
|Natalizumab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Natalizumab|
|Enfuvirtide|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Enfuvirtide|
|Palivizumab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Palivizumab|
|Daclizumab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Daclizumab|
|Bevacizumab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Bevacizumab|
|Arcitumomab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Arcitumomab|
|Pyridoxal Phosphate|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pyridoxal+Phosphate|
|Cyanocobalamin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Cyanocobalamin|
|Tetrahydrofolic acid|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Tetrahydrofolic+acid|
|L-Histidine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Histidine|
|S-Adenosylmethionine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=S-Adenosylmethionine|
|Pyruvic acid|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pyruvic+acid|
|L-Phenylalanine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Phenylalanine|
|Biotin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Biotin|
|Choline|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Choline|
|L-Lysine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Lysine|
|L-Arginine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Arginine|
|Vitamin C|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Vitamin+C|
|Spermine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Spermine|
|L-Aspartic Acid|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Aspartic+Acid|
|L-Ornithine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Ornithine|
