| Gene Symbol | Targetmine URL |
|:----------:|:------------:|
|IFNA1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA1|
|Ifna10|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ifna10|
|IFNA10|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA10|
|Ifna11|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ifna11|
|IFNA11P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA11P|
|Ifna12|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ifna12|
|IFNA12P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA12P|
|Ifna13|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ifna13|
|IFNA13|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA13|
|Ifna14|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ifna14|
|IFNA14|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA14|
|IFNA16|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA16|
|Ifna16l1|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ifna16l1|
|IFNA17|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA17|
|Ifna2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ifna2|
|IFNA2|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA2|
|IFNA20P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA20P|
|IFNA21|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA21|
|IFNA22P|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA22P|
|Ifna4|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ifna4|
|IFNA4|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA4|
|Ifna5|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ifna5|
|IFNA5|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA5|
|Ifna6|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ifna6|
|IFNA6|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA6|
|Ifna7|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ifna7|
|IFNA7|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA7|
|IFNA8|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=IFNA8|
|Ifna9|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ifna9|
|Ifnab|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ifnab|
